,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
137,963.1,964.38918174078,1.0,1.0,1003078.0,1.0,1.0,964498.0,-1.0,-1.0,1063318.0,958.05,-3030.0,-3030.0,-1980.0
138,959.79,961.1707663405606,1.0,1.0,1001398.0,1.0,0.0,964498.0,-1.0,-1.0,1062682.0,956.99,-1680.0,0.0,-636.0
139,954.0,956.6408057285628,1.0,1.0,1008562.0,1.0,0.0,964498.0,-1.0,-1.0,1068052.0,965.94,7164.0,0.0,5370.0
140,967.0,965.1464166675336,-1.0,-1.0,1000522.0,-1.0,-1.0,956458.0,-1.0,-1.0,1076728.0,980.4,-8040.0,-8040.0,8676.0
141,980.08,977.8126574384979,-1.0,-1.0,995020.0,-1.0,0.0,956458.0,-1.0,-1.0,1082038.0,989.25,-5502.0,0.0,5310.0
142,994.89,986.8849370606353,-1.0,-1.0,997384.0,-1.0,0.0,956458.0,-1.0,-1.0,1083058.0,990.95,2364.0,0.0,1020.0
143,992.9,990.9048446161212,-1.0,-1.0,1001224.0,-1.0,0.0,956458.0,-1.0,-1.0,1080388.0,986.5,3840.0,0.0,-2670.0
144,989.1,987.6649144114642,-1.0,-1.0,997726.0,-1.0,0.0,956458.0,-1.0,-1.0,1085446.0,994.93,-3498.0,0.0,5058.0
145,997.3,992.216495608813,-1.0,-1.0,996106.0,-1.0,0.0,956458.0,-1.0,-1.0,1088488.0,1000.0,-1620.0,0.0,3042.0
146,1004.79,999.4974800029796,-1.0,-1.0,996880.0,-1.0,0.0,956458.0,-1.0,-1.0,1090588.0,1003.5,774.0,0.0,2100.0
147,1006.0,1006.3941480067655,1.0,1.0,997600.0,1.0,1.0,957178.0,-1.0,-1.0,1092808.0,1007.2,720.0,720.0,2220.0
148,1006.63,1006.9374128251164,1.0,1.0,999136.0,1.0,0.0,957178.0,-1.0,-1.0,1094002.0,1009.19,1536.0,0.0,1194.0
149,1009.5,1006.3784696331104,-1.0,-1.0,1005556.0,-1.0,-1.0,963598.0,-1.0,-1.0,1087768.0,998.8,6420.0,6420.0,-6234.0
150,995.0,1004.5495346136903,1.0,1.0,1001356.0,1.0,1.0,959398.0,-1.0,-1.0,1081288.0,988.0,-4200.0,-4200.0,-6480.0
151,991.75,992.216313078494,1.0,1.0,996406.0,1.0,0.0,959398.0,-1.0,-1.0,1078588.0,983.5,-4950.0,0.0,-2700.0
152,984.0,987.3012680356372,1.0,1.0,985642.0,1.0,0.0,959398.0,-1.0,-1.0,1068124.0,966.06,-10764.0,0.0,-10464.0
153,968.1,973.0129573145692,1.0,1.0,990484.0,1.0,0.0,959398.0,-1.0,-1.0,1074190.0,976.17,4842.0,0.0,6066.0
154,977.0,975.5107825862241,-1.0,-1.0,991534.0,-1.0,-1.0,960448.0,-1.0,-1.0,1073638.0,975.25,1050.0,1050.0,-552.0
155,978.4,978.136421335352,-1.0,-1.0,950374.0,-1.0,0.0,960448.0,-1.0,-1.0,1116688.0,1047.0,-41160.0,0.0,43050.0
156,1042.0,1023.1143194823736,-1.0,-1.0,914374.0,-1.0,0.0,960448.0,-1.0,-1.0,1149688.0,1102.0,-36000.0,0.0,33000.0
157,1096.8,1074.7409668801522,-1.0,-1.0,904954.0,-1.0,0.0,960448.0,-1.0,-1.0,1155988.0,1112.5,-9420.0,0.0,6300.0
158,1113.55,1099.0324383500135,-1.0,-1.0,909484.0,-1.0,0.0,960448.0,-1.0,-1.0,1152088.0,1106.0,4530.0,0.0,-3900.0
159,1109.18,1109.430432286274,1.0,1.0,903976.0,1.0,1.0,954940.0,-1.0,-1.0,1148488.0,1100.0,-5508.0,-5508.0,-3600.0
160,1100.0,1103.0515747182653,1.0,1.0,900976.0,1.0,0.0,954940.0,-1.0,-1.0,1145488.0,1095.0,-3000.0,0.0,-3000.0
161,1095.0,1095.0546636609818,1.0,1.0,909736.0,1.0,0.0,954940.0,-1.0,-1.0,1154248.0,1109.6,8760.0,0.0,8760.0
162,1111.47,1116.3565714769102,1.0,1.0,915064.0,1.0,0.0,954940.0,-1.0,-1.0,1160698.0,1120.35,5328.0,0.0,6450.0
163,1121.98,1122.9259110443536,1.0,1.0,914854.0000000001,1.0,0.0,954940.0,-1.0,-1.0,1161466.0,1121.63,-209.99999999988358,0.0,768.0
164,1121.2,1124.0214501089765,1.0,1.0,922534.0000000001,1.0,0.0,954940.0,-1.0,-1.0,1168888.0,1134.0,7680.0,0.0,7422.0
165,1130.0,1136.6217646919024,1.0,1.0,922342.0000000001,1.0,0.0,954940.0,-1.0,-1.0,1166296.0,1129.68,-192.0,0.0,-2592.0
166,1125.33,1123.9142663124344,-1.0,-1.0,922954.0,-1.0,-1.0,955552.0,-1.0,-1.0,1163074.0,1124.31,611.9999999998836,612.0,-3222.0
167,1125.38,1129.3474308478928,1.0,1.0,925137.9999999999,1.0,1.0,957735.9999999999,-1.0,-1.0,1165900.0,1129.02,2183.9999999998836,2183.9999999998836,2826.0
168,1130.26,1129.2812879690434,-1.0,-1.0,922822.0000000001,-1.0,-1.0,955420.0000000001,-1.0,-1.0,1168960.0,1134.12,-2315.999999999767,-2315.999999999767,3060.0
169,1133.0,1129.76465016883,-1.0,-1.0,925840.0,-1.0,0.0,955420.0000000001,-1.0,-1.0,1165270.0,1127.97,3017.9999999998836,0.0,-3690.0
170,1133.77,1130.619715888259,-1.0,-1.0,923392.0,-1.0,0.0,955420.0000000001,-1.0,-1.0,1171198.0,1137.85,-2448.0,0.0,5928.0
171,1136.99,1132.2465423167089,-1.0,-1.0,927586.0,-1.0,0.0,955420.0000000001,-1.0,-1.0,1166488.0,1130.0,4194.0,0.0,-4710.0
